id,created_at,keyword,url,search_volume,kgr,client_id,client_report_id,updated_at,typology,status,indexed,pillars,parent,business_idea,priority_score,priority_level,source,principal_collection,topic,priority
32977,2025-11-13 10:47:37.998+00,sac Ã  langer sac Ã  dos,https://moom-paris.co/products/mumexplorer-sac-a-langer,1200,,0ff6bbe4-1932-4a5b-9ad6-f8a2fdf70ae8,,2025-11-13 10:47:37.998+00,product,published,true,,,,,,existing_catalog,https://moom-paris.co/collections/sac-a-langer,sac a langer,
32978,2025-11-13 10:47:37.998+00,echarpe porte bebe,https://moom-paris.co/products/wrapexplorer-echarpe-porte-bebe,3500,,0ff6bbe4-1932-4a5b-9ad6-f8a2fdf70ae8,,2025-11-13 10:47:37.998+00,product,published,true,,"[""https://moom-paris.co/collections/echarpe-de-portage"",""https://moom-paris.co/collections/tous-les-produits""]",,,,existing_catalog,,,
32979,2025-11-13 10:47:37.998+00,pochette crÃ¨me,https://moom-paris.co/products/kitexplorer-la-pochette,450,,0ff6bbe4-1932-4a5b-9ad6-f8a2fdf70ae8,,2025-11-13 10:47:37.998+00,product,published,true,,"[""https://moom-paris.co/collections/accessoires""]",,,,existing_catalog,https://moom-paris.co/collections/pochettes,pochettes,
32980,2025-11-13 10:47:37.998+00,sac a langer sac a main,https://moom-paris.co/products/mumessential-sac-a-langer,2100,,0ff6bbe4-1932-4a5b-9ad6-f8a2fdf70ae8,,2025-11-13 10:47:37.998+00,product,published,true,,"[""https://moom-paris.co/collections/sac-a-langer""]",,,,existing_catalog,https://moom-paris.co/collections/sac-a-langer,sac a langer,
32981,2025-11-13 10:47:37.998+00,comment choisir un sac a langer,https://moom-paris.co/blogs/guide-sac-a-langer,890,,0ff6bbe4-1932-4a5b-9ad6-f8a2fdf70ae8,,2025-11-13 10:47:37.998+00,guide,published,true,,,,,,existing_catalog,,,
32982,2025-11-13 10:47:37.998+00,tote bag pratique,https://moom-paris.co/products/toteessential-le-totebag,1850,,0ff6bbe4-1932-4a5b-9ad6-f8a2fdf70ae8,,2025-11-13 10:47:37.998+00,product,published,true,,"[""https://moom-paris.co/collections/tote-bag.atom""]",,,,existing_catalog,https://moom-paris.co/collections/big-tote-bag,big tote bag,
32983,2025-11-13 10:47:37.998+00,collection sac a langer,https://moom-paris.co/collections/sac-a-langer,2700,,0ff6bbe4-1932-4a5b-9ad6-f8a2fdf70ae8,,2025-11-13 10:47:37.998+00,category,published,true,,"[""https://moom-paris.co/collections/tapis-a-langer""]",,,,existing_catalog,https://moom-paris.co/collections/sac-a-langer,sac a langer,
32984,2025-11-13 10:47:37.998+00,blog parentalite,https://moom-paris.co/blogs/parentalite,320,,0ff6bbe4-1932-4a5b-9ad6-f8a2fdf70ae8,,2025-11-13 10:47:37.998+00,blog,published,true,,,,,,existing_catalog,,,
32985,2025-11-13 10:47:37.998+00,offre speciale nouveaux parents,https://moom-paris.co/landing/nouveaux-parents,1500,,0ff6bbe4-1932-4a5b-9ad6-f8a2fdf70ae8,,2025-11-13 10:47:37.998+00,landing,published,true,,,,,,existing_catalog,,,
32986,2025-11-13 10:47:37.998+00,service personnalisation,https://moom-paris.co/services/personnalisation,680,,0ff6bbe4-1932-4a5b-9ad6-f8a2fdf70ae8,,2025-11-13 10:47:37.998+00,service,published,true,,,,,,existing_catalog,,,
